"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TCALIF_04918" 667.37223366697 3.90927148452106 0.187849562544033 20.8106499242164 3.46614048777269e-96 4.68448886922479e-92
"TCALIF_11866" 2827.00439511284 6.21052211583264 0.370585652128393 16.7586685565499 4.8946292431378e-63 3.30754571105037e-59
"TCALIF_00957" 1133.63481544739 4.24952956441061 0.269832991878486 15.7487397476003 7.00636945338099e-56 3.15636943874813e-52
"TCALIF_13715" 5532.32223816692 6.06349471953518 0.413097101452201 14.6781342648486 8.90059118396236e-49 3.00728724628128e-45
"TCALIF_06728.2" 2141.61585413562 5.58832811236177 0.389862048696423 14.3341167242295 1.33939791044731e-46 3.62039255193908e-43
"TCALIF_10081" 2849.24218436314 7.76894346911656 0.572432924885208 13.5717970287515 5.88610262409813e-42 1.3258446160781e-38
"TCALIF_13714" 919.684665437225 3.39331647016707 0.256879726229528 13.2097480792823 7.7081968604741e-40 1.48823257956154e-36
"TCALIF_06394" 15451.2169084229 4.60833809311199 0.36748713226875 12.5401345746763 4.50230331590347e-36 6.76095881271504e-33
"TCALIF_06728.1" 7064.66681430756 5.82702071000536 0.46459046671116 12.5422735237227 4.38239626178891e-36 6.76095881271504e-33
"TCALIF_04517" 3926.77137690914 4.99595617395608 0.452504833319202 11.0406691953097 2.4321498570049e-28 3.28705053174213e-25
"TCALIF_03439" 1146.30669277269 3.15064179068073 0.287785850083668 10.9478690135903 6.80292292457347e-28 8.35831848414641e-25
"TCALIF_00753" 5963.20389534207 2.20444205173976 0.206288435153482 10.6862124873826 1.18095686541856e-26 1.33005266967765e-23
"TCALIF_13523" 2753.44291223379 4.54727606195041 0.428614626478284 10.6092414514949 2.69931557092676e-26 2.80624999546732e-23
"TCALIF_08136" 1698.51562513587 2.18368189334057 0.210892163540119 10.3544951916867 3.99287282865772e-25 3.85454830566494e-22
"TCALIF_12659" 123.247569860775 3.63017955963737 0.351352284664989 10.3320220703808 5.0484949860986e-25 4.54869398247484e-22
"TCALIF_07011" 785.263278948354 2.61777498469404 0.276578111666396 9.46486679268226 2.9393546472893e-21 2.48283612863218e-18
"TCALIF_04182" 1347.10094196354 1.40351963615913 0.158612257125598 8.84874638060129 8.85078541935799e-19 7.0363744083896e-16
"TCALIF_14448" 4461.58261091945 2.6313480396481 0.304005008079968 8.65560753839925 4.90292972073843e-18 3.68128306532111e-15
"TCALIF_08964" 763.880795171012 1.80876747775887 0.212147107340856 8.52600584769102 1.5148760950034e-17 1.07755528547216e-14
"TCALIF_12367" 868.071744846525 1.72833012169242 0.20292906417846 8.51691761694859 1.63855972109443e-17 1.10725673152956e-14
"TCALIF_14723" 277.789966752868 1.68727119415661 0.206933969359514 8.15366949843431 3.53044864346646e-16 2.27209587697377e-13
"TCALIF_01534" 24908.5726847377 1.91515213384914 0.241041647635642 7.94531630792733 1.93695889559705e-15 1.18990906699973e-12
"TCALIF_08135" 1249.49549468681 1.16598892650307 0.146968587313877 7.93359280247348 2.12895340831429e-15 1.25099153536381e-12
"TCALIF_09520" 172.0148221015 1.62409763779673 0.206725938472609 7.85628378226918 3.95698009431722e-15 2.22827441561238e-12
"TCALIF_07926" 874.812677094935 2.44090961182554 0.312668995834684 7.80668900448353 5.87099005317199e-15 3.17385722274478e-12
"TCALIF_11129" 2509.29818466174 1.34840428301842 0.177380565722002 7.60175883716426 2.92132762359824e-14 1.51852857049732e-11
"TCALIF_02436" 15.4099573488642 7.49567958199711 1.00724967683354 7.44172944841345 9.93755910066624e-14 4.9706476850866e-11
"TCALIF_01598" 433.859667277577 1.19794579834911 0.161078697389205 7.43702188908677 1.02980492180854e-13 4.9706476850866e-11
"TCALIF_13434" 593.588565197035 1.41900330769485 0.20053277769019 7.07616642046974 1.48196878567209e-12 6.90648556495113e-10
"TCALIF_09580" 1062.97224251433 0.826602102326947 0.118150703851919 6.99616739789336 2.630592115383e-12 1.18508174798004e-09
"TCALIF_08693" 461.585991531204 1.17609638188316 0.170444832587029 6.90015862629717 5.19445033151886e-12 2.2646127816283e-09
"TCALIF_00902" 822.349581102917 1.76983132061902 0.256880783650776 6.88969916498334 5.59104969791591e-12 2.36134489585417e-09
"TCALIF_09414" 1351.26941120285 1.48424568555534 0.218635071358256 6.78868983065963 1.13156419579308e-11 4.63426972913438e-09
"TCALIF_14954" 562.589899375549 1.14957423743066 0.170608671793345 6.7380762381359 1.60497356686625e-11 6.37976992829335e-09
"TCALIF_14624" 68.2691748941496 3.20728703160678 0.477584899757862 6.71563743584208 1.87245845390837e-11 7.23036457273474e-09
"TCALIF_02633" 154.507541557293 2.0395319754981 0.306681929940634 6.65031674964646 2.92462926024088e-11 1.09795456811543e-08
"TCALIF_01213" 70.1650199709911 2.58499506905984 0.396569826279587 6.51838566063114 7.10680788832175e-11 2.59590563812617e-08
"TCALIF_06802" 116.789071444626 3.00274566414264 0.465356173760607 6.45257511010769 1.09965350148004e-10 3.91100449276389e-08
"TCALIF_10885.1" 253.03755924905 1.05959487549493 0.164716527364162 6.43283884410901 1.25242421475276e-10 4.34013160573937e-08
"TCALIF_09395" 803.429432932527 2.19410161290732 0.349012928811279 6.28659121706557 3.24512376675423e-10 1.09644619269209e-07
"TCALIF_16731" 1815.94266568901 1.47627430459288 0.236960573396661 6.23004191554545 4.66310394960108e-10 1.53711828972826e-07
"TCALIF_09696" 643.678677963742 1.53319518872495 0.246979692911562 6.20777834262654 5.37388737056148e-10 1.72924018602711e-07
"TCALIF_10618" 164.64050399112 2.69724522479386 0.435280955065104 6.19656153895003 5.77099723476142e-10 1.81383785180932e-07
"TCALIF_09227" 234.209956281614 1.50809989138017 0.245555751337003 6.14157837138355 8.17054957317983e-10 2.50965857912558e-07
"TCALIF_09137" 107.742540584073 0.943434072580056 0.154281185524179 6.11502996541469 9.65388216078736e-10 2.89938260895647e-07
"TCALIF_15809" 664.565919258914 1.11214043112432 0.18222860766174 6.10299582153816 1.04098564710108e-09 3.05846109142849e-07
"TCALIF_14971" 475.998647198601 0.921176382087419 0.151477240778353 6.0812857255257 1.1922261653427e-09 3.42828438821416e-07
"TCALIF_04976" 543.655640861391 2.51167558149326 0.413692726987751 6.07135542309795 1.2683511973426e-09 3.57120134001776e-07
"TCALIF_13298" 565.26826047059 0.883983804357683 0.146995463412749 6.01368085677271 1.81357386225738e-09 5.00213280579766e-07
"TCALIF_14960" 707.517311881067 1.08903751274375 0.181950369925106 5.98535476015807 2.15918720506689e-09 5.83628301529581e-07
"TCALIF_05869" 119.449005359214 1.15916595103239 0.19422700441465 5.9680987951486 2.40034021351682e-09 6.36090156581958e-07
"TCALIF_02160" 1047.81404834939 -1.84313107124114 0.311458704457048 -5.91773819407033 3.26398969180808e-09 8.48323474707428e-07
"TCALIF_14749" 599.894637191018 2.32472313455386 0.396096591415827 5.86908139311235 4.38216281799582e-09 1.11745151858893e-06
"TCALIF_08218" 223.640778394951 1.13541952512862 0.195284704331716 5.81417540618011 6.0933495912862e-09 1.52502999493024e-06
"TCALIF_05698" 987.398587885758 0.899724062313587 0.155991464060811 5.76777753661472 8.0323737934565e-09 1.97377330579208e-06
"TCALIF_08199" 45.5652224563215 1.28941911757838 0.223934724372905 5.75801328351021 8.51096593710753e-09 2.0487118492608e-06
"TCALIF_09504" 13.2322076003975 7.25407858777021 1.26038163338196 5.75546199313096 8.64051612340848e-09 2.0487118492608e-06
"TCALIF_16205" 150.50867725067 3.11050745286389 0.541515434792556 5.74407902898551 9.24226184243684e-09 2.15360635862989e-06
"TCALIF_10651" 641.9335486987 0.886860342545763 0.15465662790879 5.73438302992613 9.78679373789862e-09 2.24183927741864e-06
"TCALIF_11102" 124.662999470547 -1.4261603588097 0.249135533226089 -5.72443577334057 1.03778058085247e-08 2.33760075837019e-06
"TCALIF_09482" 376.185002401662 2.43863832494794 0.428720127773507 5.68818249241675 1.28398570265671e-08 2.84476504449268e-06
"TCALIF_09693" 180.968040143444 1.34141120340844 0.237389915287821 5.65066633846708 1.59827061105934e-08 3.48397214652694e-06
"TCALIF_00242" 257.089604856408 1.01589186072474 0.182152919702254 5.57713739854028 2.44508743400571e-08 5.16333697977925e-06
"TCALIF_07339" 153.063553746313 -2.10629632782139 0.377633554998831 -5.57761962606291 2.43832099528222e-08 5.16333697977925e-06
"TCALIF_16877" 624.456229703974 0.982541040140536 0.176663988721516 5.56163736170004 2.67255197676632e-08 5.55685230246104e-06
"TCALIF_05616" 1731.32965546286 1.78094315031587 0.321068697899657 5.54692239376279 2.90741710013953e-08 5.95359728914935e-06
"TCALIF_01717" 388.941446803062 0.84070873410768 0.153917751138463 5.46206482286366 4.7062815401754e-08 9.49334253962247e-06
"TCALIF_13893" 324.262150997479 3.10595631274138 0.569743212645647 5.45150208691146 4.99461355853801e-08 9.92679444759429e-06
"TCALIF_05480" 3300.99079013342 2.69183594640681 0.499933996614296 5.38438266778562 7.26937040990348e-08 1.42384842159196e-05
"TCALIF_09136" 282.531448941208 0.670985426428389 0.126456615323723 5.30605239362683 1.12024770544179e-07 2.1324151745135e-05
"TCALIF_03748" 339.879230660968 1.36467540061447 0.25712350800271 5.30747037178758 1.11157066581304e-07 2.1324151745135e-05
"TCALIF_05787" 32.37171729967 3.12844019089419 0.593687758476634 5.2695042911472 1.36792673137681e-07 2.53324033810037e-05
"TCALIF_07547" 21.8290032090401 7.98826613542459 1.51595725565732 5.26945341342152 1.36830591699095e-07 2.53324033810037e-05
"TCALIF_10671" 557.064317521252 1.3756010431922 0.262937207256542 5.2316713086941 1.67984255645849e-07 3.06798272304547e-05
"TCALIF_11487" 124.378414209608 2.91609262851313 0.558831441490648 5.21819713782503 1.80673108910714e-07 3.25572942257107e-05
"TCALIF_02201" 676.654791534253 0.975924437005121 0.188720771560109 5.17126137699304 2.32519059702267e-07 4.13486196299492e-05
"TCALIF_16974" 226.152036095364 -1.7910579629654 0.34680347650008 -5.16447522683638 2.41114406031509e-07 4.23202752924136e-05
"TCALIF_10171" 90.2991603751942 -1.51731609769353 0.295286473079789 -5.13845447056268 2.77007288950565e-07 4.79968398739344e-05
"TCALIF_01267" 1413.76164164111 0.590235322639676 0.115488225062681 5.11078356533169 3.20825365768837e-07 5.48855040299472e-05
"TCALIF_08209" 676.153726167814 0.79260366102311 0.155558134340105 5.09522478130393 3.48327712416045e-07 5.88456129162856e-05
"TCALIF_02681" 125.542154372727 0.985503829166395 0.193723528247505 5.0871664277521 3.63452871943686e-07 6.0642784744678e-05
"TCALIF_05811" 136.450252016413 -1.31640402050185 0.260573467102711 -5.05194959079608 4.37323131525539e-07 7.20783185678983e-05
"TCALIF_01031" 29.1952182516686 4.02857154961503 0.799633599900779 5.03802185165169 4.70367753845211e-07 7.65906047375666e-05
"TCALIF_16582" 38.5297698939971 2.7725252821133 0.553861979757742 5.00580538733856 5.56289397766555e-07 8.95029906049403e-05
"TCALIF_03860" 80.168301010595 -1.50557657959491 0.30196186430513 -4.98598252815639 6.16477157071042e-07 9.80198679742957e-05
"TCALIF_01032" 72.9681809260973 2.37347060193443 0.476776106523151 4.97816599754288 6.41895947146825e-07 9.97152152378085e-05
"TCALIF_17061" 93.7774779874687 1.47819427641067 0.296831192268774 4.97991557124561 6.3612018146546e-07 9.97152152378085e-05
"TCALIF_14802" 113.630364181961 1.30088657777132 0.261830648702691 4.96842743283455 6.74980504488485e-07 0.000102772917327596
"TCALIF_06995" 1169.38594930724 1.8794405002265 0.378316229171858 4.96790873693321 6.76787986840993e-07 0.000102772917327596
"TCALIF_04830" 80.6989793492045 -1.32815015837054 0.268219467678349 -4.95172915622689 7.3556933567522e-07 0.000110457995240562
"TCALIF_07023" 923.354990876471 1.10375567504465 0.223600669403544 4.93628072755295 7.96264690607927e-07 0.00011825843179743
"TCALIF_02504" 389.01988613664 1.39119069953315 0.282062244908189 4.93221168251701 8.13037361727807e-07 0.00011943695591034
"TCALIF_16573" 133.653379237887 1.0124325652115 0.205619912975764 4.9238060193656 8.48769760328771e-07 0.000123345411944552
"TCALIF_12854" 132.175907722997 1.87829275397748 0.382693201116968 4.90809021037034 9.19675530473303e-07 0.000132227816961135
"TCALIF_02395" 328.976676307631 0.862841810763737 0.176228500643163 4.89615361655302 9.77306788469784e-07 0.000139034749959675
"TCALIF_01150" 332.488488842064 0.686627617382687 0.141398221576024 4.85598481882966 1.19789879399202e-06 0.000167358117622031
"TCALIF_04511" 813.584532570296 0.504278174353565 0.103858272931392 4.8554454076729 1.20116444020252e-06 0.000167358117622031
"TCALIF_11336" 692.190776260542 -1.18310719422823 0.243900717045326 -4.85077374335215 1.22980771936268e-06 0.000169600523746803
"TCALIF_02723" 261.807829270767 -1.00054653125751 0.206877524917116 -4.83641967225956 1.32198660386346e-06 0.000179119337163513
"TCALIF_09633" 714.086855851483 0.706115566149055 0.146014846491058 4.83591623124637 1.32533730790613e-06 0.000179119337163513
"TCALIF_09304" 292.338434617031 1.04713860303631 0.216713653560378 4.83189954039773 1.35236494418556e-06 0.000180962497234335
"TCALIF_07908" 932.943621754473 1.24594530525615 0.258802670282283 4.81426758038145 1.47740738529865e-06 0.000195756478552072
"TCALIF_14203" 33.9769385158343 -1.4244549420531 0.296165529504085 -4.80965811395499 1.51188663569879e-06 0.000198380076519117
"TCALIF_06468" 450.908470435493 0.689402773431106 0.143657902047759 4.79891995918131 1.59523524996683e-06 0.000207303888493285
"TCALIF_03078" 34.6739027412429 1.61648905510524 0.338211927561955 4.7795152192234 1.75718371236055e-06 0.000226174646405265
"TCALIF_03457" 1995.94519332843 0.743372719415987 0.156045783369722 4.76381164145077 1.89969846085384e-06 0.000241389717410065
"TCALIF_07088" 83.1668968753621 3.24989368194783 0.682377580174392 4.76260325129274 1.9111135599613e-06 0.000241389717410065
"TCALIF_09168" 233.072616345852 -0.700540426921355 0.148382051852237 -4.72119382483652 2.34464372005257e-06 0.000288212237504856
"TCALIF_11244" 452.611506817131 0.946649699441678 0.200514882149545 4.72109446088725 2.34578957643612e-06 0.000288212237504856
"TCALIF_15009" 121.212193705019 0.742960361101005 0.157303512604349 4.72310089457254 2.32275541487813e-06 0.000288212237504856
"TCALIF_04095" 111.8207694978 -1.12045571982789 0.238958644332381 -4.68891059772412 2.74663345204979e-06 0.000334421181121197
"TCALIF_04316" 163.912927013468 2.12981579311466 0.45458850829848 4.68515097551968 2.79753642003307e-06 0.00033757772068524
"TCALIF_08557" 167.82604306748 -1.74339242845855 0.37262306608701 -4.67870238621099 2.88696122694683e-06 0.000345285672408729
"TCALIF_01214" 69.0601235340269 1.8116146204775 0.388189285574161 4.66683313476307 3.05877537759016e-06 0.000362625870422202
"TCALIF_04288" 626.76927884043 0.984730808235282 0.211716869648729 4.65116837344658 3.3005970531088e-06 0.000387891905850134
"TCALIF_17017" 198.592636403415 1.07993733975005 0.233480777605975 4.62538008834527 3.73912079406044e-06 0.000431916389160059
"TCALIF_08073" 22.6388461640231 -1.58705088122615 0.343058633292872 -4.62617968827292 3.72472183099928e-06 0.000431916389160059
"TCALIF_02113" 852.225222530943 0.470683147248526 0.101883102440419 4.61983524229428 3.84044885097078e-06 0.000439861578142966
"TCALIF_12591" 17270.609917731 0.797836574086766 0.17496993458547 4.55984953058912 5.11902868632368e-06 0.000580901591084446
"TCALIF_17272" 641.152131692933 2.39138741057536 0.52462688807853 4.55826314837566 5.15783876656555e-06 0.000580901591084446
"TCALIF_09264" 2555.15660199297 -1.42801536356756 0.314216628418759 -4.5446842541523 5.50176628651287e-06 0.000614515465803484
"TCALIF_07581" 502.832445954025 -1.40555073305799 0.309857777948277 -4.5361157056145 5.72997521783052e-06 0.000634708092880551
"TCALIF_15777" 647.97185295187 0.963486702478918 0.212483375285751 4.53440981527711 5.7764776488574e-06 0.000634708092880551
"TCALIF_07337" 108.036270417122 1.93855289202609 0.427712597168659 4.5323726840378 5.83248298854318e-06 0.000635693609598073
"TCALIF_04166" 1366.9602258224 0.540678327866658 0.119407043645255 4.52802708584722 5.9536951596605e-06 0.000643713520662494
"TCALIF_02433" 119.386477348876 1.00595543286905 0.222517099659007 4.52080057852009 6.16062031249677e-06 0.000660799869233284
"TCALIF_06847" 106.789279091568 -0.76370354085356 0.169454494967521 -4.50683554307566 6.58015937125538e-06 0.000700242944114303
"TCALIF_10721" 1024.47251929382 0.508571503458653 0.112924331223869 4.50364857552644 6.67966301047344e-06 0.000705278481144911
"TCALIF_04652" 2754.00359874133 -0.622589876177819 0.138584873357885 -4.49248075271553 7.03982826520168e-06 0.000737544798482176
"TCALIF_00506" 1033.89134784544 0.710078192927212 0.158230754358835 4.48761175287642 7.20260328487439e-06 0.000748793718423672
"TCALIF_12718" 338.33460635861 2.06786932987288 0.463233106326645 4.46399296948076 8.04462049935707e-06 0.000829946916403136
"TCALIF_11020" 634.987956726091 1.04574269939894 0.235711241922555 4.43654146857589 9.1415731074619e-06 0.000935972428388997
"TCALIF_16784" 53.5201115744979 1.77348887601815 0.401131419064224 4.42121656826439 9.81467428110456e-06 0.00099733325495585
"TCALIF_04855" 21.1739247343518 -1.56170700099012 0.353766334378249 -4.41451559751961 1.01236417184394e-05 0.00102105237182618
"TCALIF_14764" 183.742193434967 0.75614854220397 0.171429194530151 4.41085046381047 1.02965408892806e-05 0.00103079814902687
"TCALIF_01798" 2386.15945936564 1.93437395210088 0.439292785265801 4.40338201987647 1.06576253537545e-05 0.00105910151952936
"TCALIF_07451" 60.8978400822897 2.50885647988479 0.570679847198513 4.39625911480992 1.10132455010473e-05 0.00107857980396127
"TCALIF_13179" 1578.01026932102 1.08149563336596 0.245946249470571 4.39728451112392 1.09613621470529e-05 0.00107857980396127
"TCALIF_02457" 521.420609655229 -0.66389389594994 0.151094738038718 -4.39389157139157 1.1133936401164e-05 0.00108255503929303
"TCALIF_13698" 246.243532168496 2.39401392426065 0.545410807271257 4.38937749737328 1.13675592049366e-05 0.0010973754475337
"TCALIF_16593" 39.3209727172315 -1.06891817413362 0.243638139941941 -4.38731872763576 1.14756564718145e-05 0.0010999538809686
"TCALIF_07331" 379.496400033347 0.719278651258434 0.164593672105891 4.37002615018933 1.24231658319312e-05 0.00118238793111655
"TCALIF_13659.1" 251.302075092991 1.30145009513295 0.298865462307185 4.35463531010241 1.33288629867947e-05 0.00125971736550022
"TCALIF_06573" 37.6339318585625 1.9784359330619 0.456171638912701 4.33704282400713 1.44412496496706e-05 0.00135537145149512
"TCALIF_12512" 118.740583225503 1.48063453400393 0.342525834350478 4.32269448175088 1.54135109338983e-05 0.00143664551911473
"TCALIF_11750" 86.3874386467215 1.41745351152159 0.328166576260085 4.31931102696518 1.56517066199327e-05 0.00144885489704377
"TCALIF_06176" 26.0016526643757 2.49932676986816 0.579216554100349 4.31501267043406 1.5959374939147e-05 0.00146728538981341
"TCALIF_16343" 15.9806631731178 1.42039790495243 0.330905049878858 4.29246367038651 1.76701469042764e-05 0.00161001928940515
"TCALIF_09316" 260.43237215766 2.41767407686343 0.56336850098829 4.29146122408729 1.77501201717623e-05 0.00161001928940515
"TCALIF_04536" 36.6374697258082 -1.36671647697487 0.320220068206834 -4.26805379384309 1.97185782656237e-05 0.0017766439017327
"TCALIF_02099" 1615.05056412418 0.549276694721041 0.128974933853965 4.25878640374395 2.05539752142806e-05 0.00183964884119869
"TCALIF_01677" 1979.44321794913 0.642466614021577 0.151375586293374 4.24418910442034 2.19385291116123e-05 0.00195065276936473
"TCALIF_11047" 134.823857516193 -1.30093291610831 0.306839199110721 -4.23978722366197 2.23731755992535e-05 0.00197629717793406
"TCALIF_04869" 510.019958368995 -1.30518299324411 0.307969142630755 -4.2380317134856 2.25487923654785e-05 0.00197887616116521
"TCALIF_14804" 99.692605214752 1.12907687187425 0.266958667559997 4.22940705463512 2.34308056841866e-05 0.00204301508917279
"TCALIF_04122" 22.560135890021 2.35481009274634 0.558298432212426 4.21783396993377 2.46660328568325e-05 0.00213693226961597
"TCALIF_10575" 540.240909676224 0.629999588278978 0.149679211769108 4.20899856989361 2.56505012058019e-05 0.0022080670305504
"TCALIF_08993" 37.6378565195688 2.14012974853768 0.508768349533484 4.20649152114136 2.59365809682374e-05 0.00221856260623879
"TCALIF_04145" 348.828398294691 0.741162905792292 0.17749347288514 4.17571921797887 2.97046034894759e-05 0.00252489129660545
"TCALIF_07538" 27.7752480555098 2.15123430378743 0.517676035723967 4.1555609209898 3.24490465164525e-05 0.00270709175104849
"TCALIF_14878" 73.4215199399595 1.89079873946816 0.454862541426105 4.15685743992029 3.22655187638444e-05 0.00270709175104849
"TCALIF_08836" 240.426954621376 -0.986795123864218 0.237345849344543 -4.15762536648256 3.21572809928252e-05 0.00270709175104849
"TCALIF_07734" 57.7084622541504 -1.44469653372328 0.349005680855662 -4.13946423502707 3.4811786487574e-05 0.00288638830907707
"TCALIF_05569" 154.854333288906 0.761007247332694 0.183915297456694 4.13781375370304 3.50630800004649e-05 0.00288949711101392
"TCALIF_04866" 87.1454383402543 1.15646820409082 0.279844772287824 4.13253459993662 3.58784736299796e-05 0.00293877315823742
"TCALIF_09921" 907.939459665241 0.713541534616172 0.173088810357291 4.12240128719631 3.7494329893001e-05 0.00303537110247988
"TCALIF_05618" 269.178665438431 0.92584804319729 0.224593735558178 4.12232354075372 3.75069903155116e-05 0.00303537110247988
"TCALIF_02892" 552.471911349528 -1.24231328912776 0.302709191910381 -4.10398270791709 4.06097830426025e-05 0.00326691201083793
"TCALIF_07155" 147.353012300255 0.79556739336677 0.194032757054302 4.10017053534998 4.12845799301999e-05 0.00330154495713995
"TCALIF_00105" 400.895038258783 -0.436993705929887 0.106660736722427 -4.09704376097752 4.18459819629717e-05 0.00332675556605625
"TCALIF_12974" 1426.09564843972 -0.592811700702205 0.144924350241956 -4.09049065745325 4.3046155187144e-05 0.00340215665119445
"TCALIF_03094" 620.111242691054 -1.40898193884293 0.344811370681506 -4.08623977816665 4.38420697225892e-05 0.00344491611802786
"TCALIF_08872" 276.769950202957 0.825761093736528 0.202784874319469 4.07210397968645 4.65903710052117e-05 0.00363970441696784
"TCALIF_10934" 250.106733264451 1.57451484424769 0.387322287166655 4.06512843803956 4.8006017781714e-05 0.00372874327770037
"TCALIF_08159" 303.146427798356 1.55607894203367 0.384689670890223 4.04502397590424 5.23177695413171e-05 0.00399930589809594
"TCALIF_11101" 555.177813742426 -0.758704040132014 0.187577105042688 -4.04475823400383 5.23771471670723e-05 0.00399930589809594
"TCALIF_06192" 536.995203757047 -1.02625511782731 0.253660830811465 -4.04577685306911 5.21498921130803e-05 0.00399930589809594
"TCALIF_10197" 1637.04805541408 -0.500267091249406 0.123831882213086 -4.03988926202834 5.34764445785467e-05 0.00406030420493853
"TCALIF_02511" 93.8457679129155 2.63097428060061 0.652179050461214 4.03412878524695 5.48052553617259e-05 0.00413794986711579
"TCALIF_15416" 113.971634316077 -0.999761574663529 0.247997134645381 -4.03134324956262 5.54589788413007e-05 0.00416404499466766
"TCALIF_14392" 65.457566940353 1.28416140128965 0.318780601984514 4.02835490395378 5.61685090061512e-05 0.00419401878021068
"TCALIF_01903" 768.051510102336 1.84382350851108 0.459118817188828 4.01600509384643 5.91929766586351e-05 0.00439556637110689
