"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TCALIF_08509" 465.018685401266 9.45265476503639 1.09845854377707 8.605381439825 7.60633855229639e-18 9.25387148272379e-14
"TCALIF_05624" 47.556049562695 22.2932600759091 3.3728141362881 6.60969124745296 3.8512239437771e-11 2.34269952499961e-07
"TCALIF_09446" 195.146268052862 3.7645729839522 0.661846509110493 5.68798495139258 1.28547147127988e-08 5.21301530653034e-05
"TCALIF_06754" 49.690340384018 8.89203852960933 1.61189373186408 5.51651660021415 3.45784841372754e-08 0.000105170459503523
"TCALIF_09240" 94.2578494950529 3.21507348508718 0.595197116530285 5.40169533049745 6.60140027549834e-08 0.000160625271503426
"TCALIF_00034.1" 48.5014411474387 8.2037800498337 1.53492606865528 5.34473953981435 9.05471600497082e-08 0.000183599458194125
"TCALIF_17176" 484.55411184148 4.4004379661258 0.836675792892803 5.25943023989174 1.44502435060382e-07 0.000251145232134943
"TCALIF_16632" 72.3206545316185 -23.7014841135136 4.56396957517196 -5.19317311895545 2.06739775437147e-07 0.000314399513496041
"TCALIF_16083" 84.1945521981364 3.94436351570506 0.778546666013777 5.06631610909147 4.05588184907399e-07 0.000548265095287046
"TCALIF_01625" 40.0410126707204 -22.295768876057 4.53707577975337 -4.91412750378813 8.91787013815806e-07 0.000985252713492157
"TCALIF_02501" 362.493585253554 3.08036330514948 0.628996964545837 4.89726259231415 9.71809350806007e-07 0.000985252713492157
"TCALIF_02699" 931.094294064659 3.25327735588805 0.662008739960114 4.91425136786571 8.91223453068983e-07 0.000985252713492157
"TCALIF_04786" 365.553512661 2.72599348159827 0.579620295306426 4.70306768702281 2.5628140985351e-06 0.00239839971713677
"TCALIF_06819" 198.986193409982 3.12145984143397 0.673124632055659 4.6372687802277 3.53043196017147e-06 0.00306794537338901
"TCALIF_05394" 56.8136346850659 2.69441753880348 0.593902147874851 4.53680382946056 5.71131862601994e-06 0.00350954861023156
"TCALIF_12427" 978.779672496513 3.09924829438055 0.685013928759796 4.5243580666917 6.05790899349521e-06 0.00350954861023156
"TCALIF_01214" 69.0601235340269 2.30817475639897 0.508172492831127 4.54210880943138 5.56942802366393e-06 0.00350954861023156
"TCALIF_10668" 185.462916875081 1.72438261737612 0.37865855054658 4.55392494078646 5.26541497286658e-06 0.00350954861023156
"TCALIF_11970" 162.751016297988 3.79650822127178 0.833890881917395 4.55276380111308 5.29457065535842e-06 0.00350954861023156
"TCALIF_02356" 54.7311487959714 2.968881604826 0.646135615048224 4.59482736391866 4.33107688118365e-06 0.00350954861023156
"TCALIF_14591" 329.366495493142 1.80863625279713 0.399330348754559 4.52917304792373 5.92149873163346e-06 0.00350954861023156
"TCALIF_06265" 232.983201619259 3.20437048729495 0.712546498030626 4.49706860696299 6.88967616737162e-06 0.0038099909205565
"TCALIF_02086" 789.852067532111 3.36512926581464 0.754956266163556 4.45738305202119 8.29662728379124e-06 0.00420569864727518
"TCALIF_09052" 100.724139481029 3.43455594119278 0.769490433883295 4.46341603476474 8.0663216300306e-06 0.00420569864727518
"TCALIF_00170" 505.877658714928 -4.16910676627365 0.942874326517915 -4.42169931773451 9.79276705022921e-06 0.00476555215732354
"TCALIF_11267" 1041.13076378876 3.73478074011561 0.855063288483036 4.36784129364444 1.25480619131844e-05 0.0048540427898522
"TCALIF_14381" 23.3462217317766 5.59207624106653 1.27542282355381 4.38448813820417 1.16258817168822e-05 0.0048540427898522
"TCALIF_03345" 585.775209545631 2.89092053206792 0.659794175885903 4.38154903108426 1.17838517952711e-05 0.0048540427898522
"TCALIF_10831" 274.903716085499 2.9910699045194 0.686447181730869 4.35731981152206 1.31664813467962e-05 0.0048540427898522
"TCALIF_01496" 34.3835583088762 2.93606970360789 0.673201197329542 4.36135543913872 1.29259185921544e-05 0.0048540427898522
"TCALIF_17304" 143.764046477613 -10.6846365091121 2.44245492247881 -4.37454808716321 1.21684298222375e-05 0.0048540427898522
"TCALIF_12429" 45.4627842790925 4.23016965477464 0.968165443282659 4.36926321232024 1.24666433354214e-05 0.0048540427898522
"TCALIF_08394" 492.457468970978 3.06745477757461 0.703489456323684 4.36034221977484 1.29859190066155e-05 0.0048540427898522
"TCALIF_10331" 57.896006016592 2.83929414172038 0.654045282598666 4.3411277739658 1.4175325673824e-05 0.00507226506316892
"TCALIF_13188" 63.4101584398182 2.94548101569911 0.681973758741344 4.31905330365689 1.56699934886811e-05 0.00544688973666555
"TCALIF_14769" 328.720271048235 3.60882495715914 0.844083700387982 4.27543495449604 1.90764492414826e-05 0.00610747582820729
"TCALIF_01982" 130.609580446899 2.4135025981963 0.563075510091639 4.28628586209247 1.81685167651692e-05 0.00610747582820729
"TCALIF_15133" 79.3217353556446 4.76899977790605 1.11439967953195 4.27943391002144 1.87369263820205e-05 0.00610747582820729
"TCALIF_13049" 607.901232643725 2.97382512764015 0.696964000659455 4.26682744707958 1.98272395105488e-05 0.00618508194577788
"TCALIF_06805" 659.143429270997 1.67046792679716 0.394847481126332 4.23066628671916 2.33000125061646e-05 0.00708669880374998
"TCALIF_04285" 170.088852464752 2.83481774373554 0.674470116395329 4.20302942239469 2.63366340339346e-05 0.00726019412548011
"TCALIF_02655" 369.400210045061 2.52856333012514 0.60275977518077 4.19497689501065 2.72899404497642e-05 0.00726019412548011
"TCALIF_12574" 85.749332471082 3.48940155418711 0.833083466263509 4.18853775821233 2.80757603125218e-05 0.00726019412548011
"TCALIF_08098" 523.763025176488 2.84252939108255 0.682756659126236 4.16331258448699 3.13663495134596e-05 0.00726019412548011
"TCALIF_09039" 679.929976331482 2.75188283856547 0.654580469531569 4.2040405521643 2.62191931595428e-05 0.00726019412548011
"TCALIF_12017" 59.2718439124445 2.64895007376511 0.631341828781026 4.19574619169399 2.71974679042532e-05 0.00726019412548011
"TCALIF_06164" 1016.22431899951 3.62762312432436 0.870917999629525 4.16528665829331 3.10961594851748e-05 0.00726019412548011
"TCALIF_14699" 623.430880639404 3.53388819711778 0.840420926441132 4.20490266952593 2.61194533299706e-05 0.00726019412548011
"TCALIF_01362" 796.853614960171 2.94855040016375 0.706434686748065 4.17384714464806 2.99498737847952e-05 0.00726019412548011
"TCALIF_12556" 134.602817622352 2.83313394393753 0.679482245300997 4.16954815748351 3.05204122794887e-05 0.00726019412548011
"TCALIF_12605" 475.022792994924 3.29505296051699 0.79054997571942 4.16805143472227 3.07214621031388e-05 0.00726019412548011
"TCALIF_01710" 1262.6206611861 3.50031589323951 0.838923412574359 4.17239028113219 3.014207572844e-05 0.00726019412548011
"TCALIF_03167" 114.426082450738 2.57069615120877 0.617745854406648 4.16141384498315 3.16283321264545e-05 0.00726019412548011
"TCALIF_14685" 39.8884140556775 2.99514110872887 0.721101001422132 4.1535667026144 3.27332736965641e-05 0.00737468532948887
"TCALIF_12125" 139.977365211663 3.59377328557907 0.867823559620782 4.1411335815191 3.4559361081796e-05 0.00750802119502018
"TCALIF_12393" 20.8841898664669 4.50074931335714 1.08655740893232 4.14221032074108 3.4397468353419e-05 0.00750802119502018
"TCALIF_16172" 28.8823980005348 -4.01371524369349 0.972650954739073 -4.12657307756432 3.68209034015434e-05 0.0078382732384906
"TCALIF_10547" 724.939581581267 3.22124452853368 0.781252832010585 4.12317805011174 3.73680624554048e-05 0.0078382732384906
"TCALIF_09874" 209.714065682995 2.32663760080544 0.565066628848199 4.11745709625064 3.83075815021024e-05 0.007899153161942
"TCALIF_02708" 1785.40649878051 2.97001711127712 0.724198112242054 4.10111136865879 4.11170599913157e-05 0.00833716919757245
"TCALIF_02085" 3968.89762461744 3.65960993511169 0.894097886130319 4.09307525706227 4.25689482113396e-05 0.00849006268752717
"TCALIF_16245" 87.2345227517232 2.88334985233209 0.707944851339201 4.07284528855282 4.64422755812375e-05 0.00869256499571286
"TCALIF_07973" 143.574491713034 2.86977244244042 0.704055154146816 4.07606197545425 4.58048155053573e-05 0.00869256499571286
"TCALIF_15423" 55.32025274977 4.20067999459268 1.02985124363613 4.07891918425149 4.52455608026043e-05 0.00869256499571286
"TCALIF_05210" 898.733717874817 3.00092164802586 0.735985194266011 4.0774212190758 4.55379518785964e-05 0.00869256499571286
"TCALIF_00067" 138.832204551184 2.46832198499463 0.607148772421101 4.06543189596153 4.79435934253166e-05 0.00883760238806668
