"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TCALIF_01234" 200.789211297384 11.348341395193 1.7670234081039 6.42229262110924 1.34237058051926e-10 1.85086055641995e-06
"TCALIF_09345" 2334.56860292047 1.12221997242055 0.215574336797951 5.20572155799955 1.93244225805296e-07 0.00133222569270171
"TCALIF_01072" 35.3647130838619 -1.45201253171438 0.28878259203863 -5.02804729836396 4.95499673319654e-07 0.00227731649857713
"TCALIF_02652" 432.224040298371 -2.25039634599448 0.453361853472009 -4.96379730398606 6.91280894107624e-07 0.00238284524198898
"TCALIF_16710" 53.0472811818571 2.4406525815101 0.496873653455922 4.91201850718899 9.01435418691227e-07 0.00248579831058293
"TCALIF_11768" 169.986871033301 2.4092349049924 0.510694651495905 4.71756439574093 2.38684863362729e-06 0.00497870918166683
"TCALIF_02207" 219.335017624245 1.09573982233098 0.23284442267849 4.70588820520717 2.52763013284507e-06 0.00497870918166683
"TCALIF_07355" 248.077745773439 0.752542246431931 0.161405992240125 4.6624182658124 3.12515218788706e-06 0.00538619979582335
"TCALIF_06755" 1900.5750396741 1.55160410473207 0.3361046875756 4.61643101714571 3.90395708514484e-06 0.00579585194732219
"TCALIF_04773" 3566.21942576609 1.20551759061472 0.262008904906778 4.60105579634265 4.20354797455918e-06 0.00579585194732219
"TCALIF_08177" 13.7033859957137 3.70833596124082 0.819082728300934 4.52742541517536 5.97066643042777e-06 0.00748395897661256
"TCALIF_14067" 3267.27604934298 1.04918898081633 0.233529075327707 4.49275525689476 7.03075690514722e-06 0.00807833968401416
"TCALIF_05300" 2052.17000702098 1.21091198750728 0.271499075060599 4.46009617983782 8.19228802852367e-06 0.00868886671825264
"TCALIF_15953" 192.388647026771 1.02354972791263 0.232445239386211 4.40340155219092 1.06566654242586e-05 0.0104952930621198
"TCALIF_05546" 607.743591660443 -0.349990347752491 0.0822049618439476 -4.25753312089469 2.0669504543909e-05 0.0182690022102739
"TCALIF_08235" 45.4974703306025 1.4929389378876 0.351125774157512 4.25186371313739 2.11998865219308e-05 0.0182690022102739
"TCALIF_16302" 36.7231728502023 1.13747256725259 0.268583049069545 4.23508695427038 2.28463282647598e-05 0.0185297161243828
"TCALIF_15859" 102.631338526408 1.05863399700474 0.252762283597656 4.18825934762427 2.81102175726883e-05 0.0205845687945207
"TCALIF_14426" 487.043953750481 -0.982212840393834 0.234630860090607 -4.18620483262319 2.83657388378223e-05 0.0205845687945207
"TCALIF_01019" 68.0412386245391 -1.06527386504339 0.25628116476692 -4.15666077533331 3.22932938791421e-05 0.0215998920028609
"TCALIF_01462" 83.1138129135299 1.58782043398737 0.382384500234457 4.15241839827139 3.28980078372556e-05 0.0215998920028609
"TCALIF_15583" 141.145612683026 -0.831783287822812 0.201509871387333 -4.12775454669413 3.66322826749773e-05 0.0219602571096777
"TCALIF_10816" 105.581890692088 0.843466512583838 0.203872362567856 4.13722832246623 3.51526278146051e-05 0.0219602571096777
"TCALIF_07850" 585.243875171618 1.81683970327003 0.442885922930272 4.10227466985008 4.09108202874391e-05 0.0235032662551337
"TCALIF_03830" 1240.70535855837 1.09657547875248 0.272252518903887 4.02778818417326 5.63040330290463e-05 0.0310528002961796
"TCALIF_05204" 420.869943607771 -0.419332438298894 0.106462381150351 -3.93878507852169 8.18952477630668e-05 0.0418211731910061
"TCALIF_00781" 983.656322229764 0.481984029593613 0.12214797730782 3.94590266835927 7.9499905385114e-05 0.0418211731910061
"TCALIF_09452" 803.714764195321 0.845836466807607 0.216125792881353 3.91363037021661 9.09187765844445e-05 0.0435743227640421
"TCALIF_01085" 4012.43754433973 0.792479664786475 0.202592166249236 3.91169944750747 9.16489237131724e-05 0.0435743227640421
"TCALIF_06010" 86.8773062404923 0.920015129055043 0.237569892472284 3.87260826479676 0.000107676819491018 0.049488266238072
"TCALIF_07824" 364.21347438282 0.909012276977955 0.236695967630334 3.84042147434311 0.000122823256439242 0.0529214706182583
"TCALIF_07462" 46.3748524018621 1.43236767013354 0.372334421165173 3.84699235072366 0.000119576701205631 0.0529214706182583
"TCALIF_04453" 980.828445118814 2.61321779403842 0.682376122317352 3.82958563257448 0.000128359211935926 0.0536308125506834
"TCALIF_03125" 479.462959111457 0.694103986773465 0.183327978018157 3.78613234202976 0.000153010206162441 0.0612110543018028
"TCALIF_07064" 56.4031305850433 -2.09755111122312 0.55456899903304 -3.78230863045078 0.000155380541091028 0.0612110543018028
"TCALIF_14537" 35.8579623427991 -1.41080416170877 0.374057341689663 -3.77162537523255 0.000162187631129086 0.06211786272244
"TCALIF_10769" 270.997043663924 1.64531365458442 0.440510854861072 3.73501273902391 0.000187705685258336 0.064488846388172
"TCALIF_10260" 1261.24988634667 1.28019094632217 0.342898157406105 3.73344364404384 0.000188879470960628 0.064488846388172
"TCALIF_08021" 1256.14612382205 0.536324426984649 0.143311360008454 3.74237204191635 0.000182291361283414 0.064488846388172
"TCALIF_09379" 21.9677410017061 2.32192851372313 0.618426991454068 3.75457175351245 0.00017363809905046 0.064488846388172
"TCALIF_03556" 238.077439019366 0.926811677294332 0.248499884311213 3.72962619223445 0.000191764048586818 0.064488846388172
"TCALIF_13759" 58.0077031159065 -0.876863797291123 0.235646394418845 -3.72109999583766 0.000198356868706842 0.0651177263269034
"TCALIF_15313" 239.784517390178 2.54586783228463 0.691461811021645 3.6818632521774 0.000231535598237522 0.0651350515677014
"TCALIF_02733" 47.4340600562165 1.67801698107769 0.452309154395592 3.70988949653246 0.000207349730694466 0.0651350515677014
"TCALIF_11312" 407.192672207811 2.38012447262648 0.647340400359323 3.6767741845022 0.000236201956656881 0.0651350515677014
"TCALIF_04607" 99.5463186455358 0.547630871408497 0.147891085369283 3.7029336152417 0.000213120664034856 0.0651350515677014
"TCALIF_00908" 324.505424956959 0.977863385661209 0.26433647931676 3.69931304293955 0.000216183820844392 0.0651350515677014
"TCALIF_13802" 5.97494728418027 4.40509082192569 1.19513557638738 3.68585029929515 0.000227940315028106 0.0651350515677014
"TCALIF_06761" 286.654024217692 -0.532531800362793 0.144623813762662 -3.68218612487094 0.000231242482017624 0.0651350515677014
"TCALIF_06791" 96.4845115448243 -1.7513565039018 0.475187670591697 -3.68561015423871 0.000228155372100718 0.0651350515677014
"TCALIF_04718" 51.9230616113893 1.63175026382074 0.445308994258669 3.66431014162919 0.000248006124840171 0.0670491852803191
"TCALIF_10450" 5119.39495907571 -1.97008111281341 0.539149760181558 -3.65405172794658 0.000258134226577573 0.067153862567011
"TCALIF_09190" 127.388429766892 -0.642230679992474 0.175556412273014 -3.65825817284143 0.000253935184671772 0.067153862567011
"TCALIF_09930" 244.781108375431 -0.639880182374768 0.176894185903501 -3.6173047695521 0.000297686711441084 0.0678643316113093
"TCALIF_16711" 74.329164977488 2.97745041788042 0.822627976881556 3.61943734173428 0.000295244288590738 0.0678643316113093
"TCALIF_14540" 38.5076168298801 1.00700731338689 0.276358753062306 3.64384084899913 0.0002685995434157 0.0678643316113093
"TCALIF_00298" 1541.46405634804 0.831299397654478 0.228412012731629 3.63947319456971 0.00027319637307558 0.0678643316113093
"TCALIF_05635" 25411.4147543934 1.18107858730055 0.327089099756859 3.61087724469726 0.000305163080932781 0.0678643316113093
"TCALIF_14833" 5.49088388487201 3.95525136583035 1.08955384876223 3.6301568484418 0.000283249045121009 0.0678643316113093
"TCALIF_03375" 51.0383149941326 2.45537938162637 0.677329114973065 3.62509056136471 0.000288860209632833 0.0678643316113093
"TCALIF_11082" 110.442506770125 0.800500977536849 0.221287354149069 3.61747276799919 0.000297493619216146 0.0678643316113093
