"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TCALIF_13715" 3431.36112540188 5.73323980771217 0.310830330969567 18.4449174886781 5.72864053932622e-76 7.59388589893084e-72
"TCALIF_00957" 1055.11773244867 4.08006307762677 0.231880510900996 17.5955411766744 2.66497751150709e-69 1.7663470946269e-65
"TCALIF_04918" 592.431548968572 4.0432239528911 0.244662458032268 16.5257227668245 2.39550957623449e-61 1.05849583141881e-57
"TCALIF_06728.1" 3763.51213718697 5.52635442965007 0.34591333152058 15.9761244394863 1.87443490410932e-57 6.21187727221827e-54
"TCALIF_06394" 11522.8502388642 4.94109202297254 0.333882785182328 14.7988822492729 1.48937051148412e-49 3.94861910004669e-46
"TCALIF_14448" 4097.48831585468 3.07452669199433 0.214340554573394 14.3441202627922 1.15961407357939e-46 2.5619740265614e-43
"TCALIF_13523" 2098.2012925354 4.95762111490117 0.365187300657643 13.5755572714969 5.59167938074258e-42 1.05890431244462e-38
"TCALIF_06728.2" 1455.04977431523 5.32061501778011 0.397089567034451 13.3990299909302 6.1258549553715e-41 1.01505416610506e-37
"TCALIF_11866" 2490.60443486253 5.8627110259461 0.44144949215667 13.2805929786084 3.00008937419844e-40 4.4187983049305e-37
"TCALIF_09446" 178.979858817277 3.02739854226139 0.26564292857671 11.3964958844638 4.35288890242634e-30 5.77018952905636e-27
"TCALIF_08592" 167.963885156784 2.74285381928965 0.242239244736634 11.3229126943148 1.01057431591902e-29 1.19823212000091e-26
"TCALIF_11267" 853.303636675306 3.72776205779138 0.329403419839999 11.3167072145215 1.08470016898091e-29 1.19823212000091e-26
"TCALIF_14025" 215.547495173911 5.16581788489757 0.462537966096963 11.1684191645679 5.8207582126508e-29 5.93538237437685e-26
"TCALIF_08509" 399.95892324475 9.8974522332034 0.890055566287457 11.1200385774643 1.00228644907034e-28 9.49022083491171e-26
"TCALIF_07011" 696.550331442706 2.92896321754913 0.263550226983866 11.1134915384779 1.07858015007278e-28 9.53177231290981e-26
"TCALIF_13714" 906.208210715248 3.68951712427142 0.336773058062452 10.9554996634773 6.25323105391326e-28 5.18080192816714e-25
"TCALIF_04786" 296.817798177791 3.0811485733242 0.282988471387433 10.887894330882 1.31648920235445e-27 1.02655181567121e-24
"TCALIF_17176" 457.290913823112 4.85020593468188 0.456087757524462 10.6343699313651 2.06217832585413e-26 1.51867977152902e-23
"TCALIF_02708" 1556.07421294012 3.70913342325398 0.350769373342496 10.574279584074 3.92179889423488e-26 2.73617716536724e-23
