GeneID	GeneName	ka	ks	ka_div_ks_plus1
TCALIF_05226	TCALIF_05226	45	48	0.918367346939
TCALIF_08187	TCALIF_08187	50	90	0.549450549451
TCALIF_04021	TCALIF_04021	38	49	0.76
TCALIF_05224	TCALIF_05224	36	36	0.972972972973
TCALIF_06941	TCALIF_06941	20	28	0.689655172414
TCALIF_03736	TCALIF_03736	6	36	0.162162162162
TCALIF_16329	TCALIF_16329	4	19	0.2
TCALIF_01826	TCALIF_01826	20	15	1.25
TCALIF_15693	TCALIF_15693	33	48	0.673469387755
TCALIF_15692	TCALIF_15692	6	12	0.461538461538
TCALIF_15691	TCALIF_15691	2	1	1.0
TCALIF_15690	TCALIF_15690	43	39	1.075
TCALIF_15697	TCALIF_15697	1	7	0.125
TCALIF_15696	TCALIF_15696	0	4	0.0
TCALIF_15695	TCALIF_15695	16	11	1.33333333333
TCALIF_15694	TCALIF_15694	14	16	0.823529411765
TCALIF_16269	TCALIF_16269	16	9	1.6
TCALIF_15699	TCALIF_15699	2	6	0.285714285714
TCALIF_15698	TCALIF_15698	7	16	0.411764705882
TCALIF_12786	TCALIF_12786	49	19	2.45
TCALIF_08709	TCALIF_08709	2	10	0.181818181818
TCALIF_04606	TCALIF_04606	3	12	0.230769230769
TCALIF_04607	TCALIF_04607	5	59	0.0833333333333
TCALIF_04356	TCALIF_04356	29	93	0.308510638298
TCALIF_04605	TCALIF_04605	20	44	0.444444444444
TCALIF_04602	TCALIF_04602	8	47	0.166666666667
TCALIF_04603	TCALIF_04603	10	24	0.4
TCALIF_04600	TCALIF_04600	19	61	0.306451612903
TCALIF_04601	TCALIF_04601	12	24	0.48
TCALIF_14346	TCALIF_14346	11	47	0.229166666667
TCALIF_14347	TCALIF_14347	7	23	0.291666666667
TCALIF_14344	TCALIF_14344	11	9	1.1
TCALIF_14345	TCALIF_14345	25	57	0.431034482759
TCALIF_04358	TCALIF_04358	5	20	0.238095238095
TCALIF_04359	TCALIF_04359	25	104	0.238095238095
TCALIF_14340	TCALIF_14340	8	33	0.235294117647
TCALIF_04609	TCALIF_04609	16	45	0.347826086957
TCALIF_15349	TCALIF_15349	18	38	0.461538461538
TCALIF_15348	TCALIF_15348	49	19	2.45
TCALIF_03375	TCALIF_03375	18	22	0.782608695652
TCALIF_03374	TCALIF_03374	26	77	0.333333333333
TCALIF_03373	TCALIF_03373	12	22	0.521739130435
TCALIF_03372	TCALIF_03372	0	2	0.0
TCALIF_15439	TCALIF_15439	10	4	2.0
TCALIF_15438	TCALIF_15438	27	45	0.586956521739
TCALIF_15437	TCALIF_15437	15	9	1.5
TCALIF_15436	TCALIF_15436	14	11	1.16666666667
TCALIF_15435	TCALIF_15435	24	18	1.26315789474
TCALIF_15434	TCALIF_15434	2	10	0.181818181818
TCALIF_15433	TCALIF_15433	6	12	0.461538461538
TCALIF_15432	TCALIF_15432	2	2	0.666666666667
TCALIF_15431	TCALIF_15431	11	16	0.647058823529
TCALIF_15430	TCALIF_15430	255	166	1.52694610778
TCALIF_05915	TCALIF_05915	14	36	0.378378378378
TCALIF_05914	TCALIF_05914	14	50	0.274509803922
TCALIF_05917	TCALIF_05917	16	65	0.242424242424
TCALIF_05916	TCALIF_05916	0	10	0.0
TCALIF_05911	TCALIF_05911	0	10	0.0
TCALIF_09925	TCALIF_09925	7	62	0.111111111111
TCALIF_09926	TCALIF_09926	15	64	0.230769230769
TCALIF_05912	TCALIF_05912	0	4	0.0
TCALIF_09928	TCALIF_09928	5	28	0.172413793103
TCALIF_09929	TCALIF_09929	25	170	0.146198830409
TCALIF_08371	TCALIF_08371	90	152	0.588235294118
TCALIF_05919	TCALIF_05919	25	15	1.5625
TCALIF_05918	TCALIF_05918	1	20	0.047619047619
TCALIF_08039	TCALIF_08039	77	92	0.827956989247
TCALIF_08038	TCALIF_08038	9	78	0.113924050633
TCALIF_08035	TCALIF_08035	35	27	1.25
TCALIF_08034	TCALIF_08034	84	130	0.641221374046
TCALIF_08037	TCALIF_08037	19	40	0.463414634146
TCALIF_08036	TCALIF_08036	8	26	0.296296296296
TCALIF_08031	TCALIF_08031	3	24	0.12
TCALIF_08030	TCALIF_08030	12	30	0.387096774194
TCALIF_08033	TCALIF_08033	20	31	0.625
TCALIF_08523	TCALIF_08523	10	26	0.37037037037
TCALIF_08521	TCALIF_08521	33	88	0.370786516854
TCALIF_08520	TCALIF_08520	13	47	0.270833333333
TCALIF_08527	TCALIF_08527	2	28	0.0689655172414
TCALIF_16325	TCALIF_16325	12	29	0.4
TCALIF_08525	TCALIF_08525	2	36	0.0540540540541
TCALIF_08524	TCALIF_08524	16	30	0.516129032258
TCALIF_08529	TCALIF_08529	44	26	1.62962962963
TCALIF_08528	TCALIF_08528	0	1	0.0
TCALIF_03513	TCALIF_03513	4	31	0.125
TCALIF_03512	TCALIF_03512	0	13	0.0
TCALIF_03511	TCALIF_03511	46	59	0.766666666667
TCALIF_03510	TCALIF_03510	0	63	0.0
TCALIF_03517	TCALIF_03517	51	27	1.82142857143
TCALIF_03516	TCALIF_03516	21	81	0.256097560976
TCALIF_03515	TCALIF_03515	5	24	0.2
TCALIF_03514	TCALIF_03514	17	4	3.4
TCALIF_03519	TCALIF_03519	6	37	0.157894736842
TCALIF_03518	TCALIF_03518	3	29	0.1
TCALIF_12214	TCALIF_12214	61	99	0.61
TCALIF_03200	TCALIF_03200	12	66	0.179104477612
TCALIF_16322	TCALIF_16322	8	6	1.14285714286
TCALIF_00386	TCALIF_00386	51	173	0.293103448276
TCALIF_08421	TCALIF_08421	26	5	4.33333333333
TCALIF_13978	TCALIF_13978	23	51	0.442307692308
TCALIF_13979	TCALIF_13979	62	146	0.421768707483
TCALIF_00276	TCALIF_00276	59	109	0.536363636364
TCALIF_13971	TCALIF_13971	30	103	0.288461538462
TCALIF_13972	TCALIF_13972	28	14	1.86666666667
TCALIF_13974	TCALIF_13974	37	14	2.46666666667
TCALIF_13975	TCALIF_13975	31	50	0.607843137255
TCALIF_13976	TCALIF_13976	2	1	1.0
TCALIF_13977	TCALIF_13977	33	17	1.83333333333
TCALIF_00274	TCALIF_00274	19	82	0.228915662651
TCALIF_16320	TCALIF_16320	10	17	0.555555555556
TCALIF_02352	TCALIF_02352	2	26	0.0740740740741
TCALIF_02353	TCALIF_02353	9	19	0.45
TCALIF_02356	TCALIF_02356	31	75	0.407894736842
TCALIF_02354	TCALIF_02354	11	83	0.130952380952
TCALIF_02355	TCALIF_02355	44	19	2.2
TCALIF_12371	TCALIF_12371	67	76	0.87012987013
TCALIF_12370	TCALIF_12370	72	62	1.14285714286
TCALIF_12373	TCALIF_12373	16	18	0.842105263158
TCALIF_12372	TCALIF_12372	4	33	0.117647058824
TCALIF_12375	TCALIF_12375	64	98	0.646464646465
TCALIF_12374	TCALIF_12374	0	24	0.0
TCALIF_12377	TCALIF_12377	6	17	0.333333333333
TCALIF_12376	TCALIF_12376	22	53	0.407407407407
TCALIF_16321	TCALIF_16321	25	66	0.373134328358
TCALIF_01235	TCALIF_01235	25	89	0.277777777778
TCALIF_07658	TCALIF_07658	14	41	0.333333333333
TCALIF_07659	TCALIF_07659	5	11	0.416666666667
TCALIF_07878	TCALIF_07878	3	13	0.214285714286
TCALIF_07879	TCALIF_07879	38	105	0.358490566038
TCALIF_07650	TCALIF_07650	8	20	0.380952380952
TCALIF_07651	TCALIF_07651	31	51	0.596153846154
TCALIF_07652	TCALIF_07652	22	29	0.733333333333
TCALIF_07653	TCALIF_07653	15	18	0.789473684211
TCALIF_07654	TCALIF_07654	1	7	0.125
TCALIF_07655	TCALIF_07655	4	40	0.0975609756098
TCALIF_07656	TCALIF_07656	0	2	0.0
TCALIF_07657	TCALIF_07657	25	49	0.5
