Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	cmh_window_geomean_sigonly_forseqmonk
ChrChromosome_1:8150000-8160000	Chromosome_1	8150000	8160000		NaN	TCALIF_10196	TCALIF_10196	No description	-	CDS	overlapping	0	1.0
ChrChromosome_10:7490000-7500000	Chromosome_10	7490000	7500000		NaN	TCALIF_00481	TCALIF_00481	No description	+	CDS	overlapping	0	1.0
ChrChromosome_10:7540000-7550000	Chromosome_10	7540000	7550000		NaN	TCALIF_00489	TCALIF_00489	No description	+	CDS	overlapping	0	1.0
ChrChromosome_10:9530000-9540000	Chromosome_10	9530000	9540000		NaN	TCALIF_16663	TCALIF_16663	No description	-	CDS	overlapping	0	1.0
ChrChromosome_10:11340000-11350000	Chromosome_10	11340000	11350000		NaN	TCALIF_03553	TCALIF_03553	No description	-	CDS	overlapping	0	1.0
ChrChromosome_10:12050000-12060000	Chromosome_10	12050000	12060000		NaN	TCALIF_02073	TCALIF_02073	No description	-	CDS	overlapping	0	1.0
ChrChromosome_10:12210000-12220000	Chromosome_10	12210000	12220000		NaN	TCALIF_02090	TCALIF_02090	No description	+	CDS	overlapping	0	1.0
ChrChromosome_10:14800000-14810000	Chromosome_10	14800000	14810000		NaN	TCALIF_08230	TCALIF_08230	No description	+	CDS	overlapping	0	1.0
ChrChromosome_10:16110000-16120000	Chromosome_10	16110000	16120000		NaN	TCALIF_16585	TCALIF_16585	No description	+	CDS	overlapping	0	1.0
ChrChromosome_11:1730000-1740000	Chromosome_11	1730000	1740000		NaN	TCALIF_12555	TCALIF_12555	No description	-	CDS	overlapping	0	1.0
ChrChromosome_11:4230000-4240000	Chromosome_11	4230000	4240000		NaN	TCALIF_06902	TCALIF_06902	No description	-	CDS	overlapping	0	1.0
ChrChromosome_11:7830000-7840000	Chromosome_11	7830000	7840000		NaN	TCALIF_13724	TCALIF_13724	No description	-	CDS	overlapping	0	1.0
ChrChromosome_11:7960000-7970000	Chromosome_11	7960000	7970000		NaN	TCALIF_13494	TCALIF_13494	No description	+	CDS	overlapping	0	1.0
ChrChromosome_11:11620000-11630000	Chromosome_11	11620000	11630000		NaN	TCALIF_09467	TCALIF_09467	No description	-	CDS	overlapping	0	1.0
ChrChromosome_11:13330000-13340000	Chromosome_11	13330000	13340000		NaN	TCALIF_08511	TCALIF_08511	No description	+	CDS	overlapping	0	1.0
ChrChromosome_12:110000-120000	Chromosome_12	110000	120000		NaN	TCALIF_13143	TCALIF_13143	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:1710000-1720000	Chromosome_12	1710000	1720000		NaN	TCALIF_04810	TCALIF_04810	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:3070000-3080000	Chromosome_12	3070000	3080000		NaN	TCALIF_13704	TCALIF_13704	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:3680000-3690000	Chromosome_12	3680000	3690000		NaN	TCALIF_15421	TCALIF_15421	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:8910000-8920000	Chromosome_12	8910000	8920000		NaN	TCALIF_07742	TCALIF_07742	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:15030000-15040000	Chromosome_12	15030000	15040000		NaN	TCALIF_14472	TCALIF_14472	No description	-	CDS	overlapping	0	1.0
ChrChromosome_12:17280000-17290000	Chromosome_12	17280000	17290000		NaN	TCALIF_04706	TCALIF_04706	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2090000-2100000	Chromosome_2	2090000	2100000		NaN	TCALIF_10089	TCALIF_10089	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2170000-2180000	Chromosome_2	2170000	2180000		NaN	TCALIF_04786	TCALIF_04786	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2320000-2330000	Chromosome_2	2320000	2330000		NaN	TCALIF_10435	TCALIF_10435	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2440000-2450000	Chromosome_2	2440000	2450000		NaN	TCALIF_13723	TCALIF_13723	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2570000-2580000	Chromosome_2	2570000	2580000		NaN	TCALIF_07007	TCALIF_07007	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2580000-2590000	Chromosome_2	2580000	2590000		NaN	TCALIF_07007	TCALIF_07007	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2600000-2610000	Chromosome_2	2600000	2610000		NaN	TCALIF_07006	TCALIF_07006	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2650000-2660000	Chromosome_2	2650000	2660000		NaN	TCALIF_07002	TCALIF_07002	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2690000-2700000	Chromosome_2	2690000	2700000		NaN	TCALIF_06999	TCALIF_06999	No description	-	CDS	overlapping	0	1.0
